Year,Rounded,Prop,Site
2016,28,0,TNC_19
2016,30,0,TNC_19
2016,31,0,TNC_19
2016,32,0,TNC_19
2016,33,0,TNC_19
2016,35,0,TNC_19
2016,37,0,TNC_19
2016,39,0,TNC_19
2016,46,0,TNC_19
2016,50,0,TNC_19
2016,54,0,TNC_19
2017,11,1.020408163,TNC_25
2017,12,8.163265306,TNC_25
2017,13,15.30612245,TNC_25
2017,14,17.34693878,TNC_25
2017,15,18.36734694,TNC_25
2017,16,8.163265306,TNC_25
2017,17,4.081632653,TNC_25
2017,18,3.06122449,TNC_25
2017,19,1.020408163,TNC_25
2017,20,2.040816327,TNC_25
2017,21,0,TNC_25
2017,24,1.020408163,TNC_25
2017,26,1.020408163,TNC_25
2017,28,2.040816327,TNC_25
2017,29,2.040816327,TNC_25
2017,30,0,TNC_25
2017,31,2.040816327,TNC_25
2017,32,0,TNC_25
2017,33,2.040816327,TNC_25
2017,34,2.040816327,TNC_25
2017,43,1.020408163,TNC_25
2017,44,1.020408163,TNC_25
2017,66,0,TNC_25
2017,68,0,TNC_25
2017,81,0,TNC_25
2017,11,0,TNC_23
2017,12,0,TNC_23
2017,13,0,TNC_23
2017,14,0,TNC_23
2017,15,0,TNC_23
2017,16,0,TNC_23
2017,17,0,TNC_23
2017,18,0,TNC_23
2017,19,0,TNC_23
2017,20,0,TNC_23
2017,21,0,TNC_23
2017,24,0,TNC_23
2017,26,0,TNC_23
2017,28,0,TNC_23
2017,29,0,TNC_23
2017,30,1.020408163,TNC_23
2017,31,0,TNC_23
2017,32,0,TNC_23
2017,33,0,TNC_23
2017,34,0,TNC_23
2017,43,0,TNC_23
2017,44,0,TNC_23
2017,66,0,TNC_23
2017,68,1.020408163,TNC_23
2017,81,0,TNC_23
2017,11,0,TNC_16
2017,12,0,TNC_16
2017,13,0,TNC_16
2017,14,0,TNC_16
2017,15,0,TNC_16
2017,16,0,TNC_16
2017,17,0,TNC_16
2017,18,0,TNC_16
2017,19,0,TNC_16
2017,20,0,TNC_16
2017,21,0,TNC_16
2017,24,0,TNC_16
2017,26,0,TNC_16
2017,28,0,TNC_16
2017,29,0,TNC_16
2017,30,0,TNC_16
2017,31,0,TNC_16
2017,32,0,TNC_16
2017,33,0,TNC_16
2017,34,1.020408163,TNC_16
2017,43,0,TNC_16
2017,44,0,TNC_16
2017,66,1.020408163,TNC_16
2017,68,0,TNC_16
2017,81,1.020408163,TNC_16
2017,11,0,TNC_19
2017,12,0,TNC_19
2017,13,0,TNC_19
2017,14,0,TNC_19
2017,15,0,TNC_19
2017,16,0,TNC_19
2017,17,0,TNC_19
2017,18,0,TNC_19
2017,19,0,TNC_19
2017,20,0,TNC_19
2017,21,1.020408163,TNC_19
2017,24,0,TNC_19
2017,26,0,TNC_19
2017,28,0,TNC_19
2017,29,0,TNC_19
2017,30,0,TNC_19
2017,31,0,TNC_19
2017,32,1.020408163,TNC_19
2017,33,0,TNC_19
2017,34,0,TNC_19
2017,43,0,TNC_19
2017,44,0,TNC_19
2017,66,0,TNC_19
2017,68,0,TNC_19
2017,81,0,TNC_19
2018,11,2.985074627,TNC_25
2018,12,4.47761194,TNC_25
2018,13,10.44776119,TNC_25
2018,14,16.41791045,TNC_25
2018,15,8.955223881,TNC_25
2018,16,10.44776119,TNC_25
2018,17,5.970149254,TNC_25
2018,18,5.970149254,TNC_25
2018,19,7.462686567,TNC_25
2018,20,4.47761194,TNC_25
2018,21,2.985074627,TNC_25
2018,22,1.492537313,TNC_25
2018,24,1.492537313,TNC_25
2018,25,2.985074627,TNC_25
2018,26,1.492537313,TNC_25
2018,27,1.492537313,TNC_25
2018,32,1.492537313,TNC_25
2018,34,1.492537313,TNC_25
2018,38,0,TNC_25
2018,52,0,TNC_25
2018,56,0,TNC_25
2018,11,0,TNC_23
2018,12,0,TNC_23
2018,13,0,TNC_23
2018,14,0,TNC_23
2018,15,0,TNC_23
2018,16,0,TNC_23
2018,17,0,TNC_23
2018,18,0,TNC_23
2018,19,0,TNC_23
2018,20,0,TNC_23
2018,21,0,TNC_23
2018,22,0,TNC_23
2018,24,0,TNC_23
2018,25,0,TNC_23
2018,26,0,TNC_23
2018,27,0,TNC_23
2018,32,0,TNC_23
2018,34,1.492537313,TNC_23
2018,38,0,TNC_23
2018,52,0,TNC_23
2018,56,0,TNC_23
2018,11,0,TNC_16
2018,12,0,TNC_16
2018,13,0,TNC_16
2018,14,0,TNC_16
2018,15,0,TNC_16
2018,16,0,TNC_16
2018,17,0,TNC_16
2018,18,0,TNC_16
2018,19,0,TNC_16
2018,20,0,TNC_16
2018,21,0,TNC_16
2018,22,0,TNC_16
2018,24,0,TNC_16
2018,25,0,TNC_16
2018,26,0,TNC_16
2018,27,0,TNC_16
2018,32,0,TNC_16
2018,34,0,TNC_16
2018,38,1.492537313,TNC_16
2018,52,1.492537313,TNC_16
2018,56,1.492537313,TNC_16
2018,11,0,TNC_19
2018,12,0,TNC_19
2018,13,0,TNC_19
2018,14,0,TNC_19
2018,15,0,TNC_19
2018,16,0,TNC_19
2018,17,0,TNC_19
2018,18,0,TNC_19
2018,19,0,TNC_19
2018,20,0,TNC_19
2018,21,0,TNC_19
2018,22,1.492537313,TNC_19
2018,24,0,TNC_19
2018,25,0,TNC_19
2018,26,0,TNC_19
2018,27,0,TNC_19
2018,32,0,TNC_19
2018,34,0,TNC_19
2018,38,0,TNC_19
2018,52,0,TNC_19
2018,56,0,TNC_19
2019,11,0,TNC_25
2019,14,0,TNC_25
2019,15,0,TNC_25
2019,16,0,TNC_25
2019,18,3.333333333,TNC_25
2019,21,0,TNC_25
2019,22,3.333333333,TNC_25
2019,24,3.333333333,TNC_25
2019,26,3.333333333,TNC_25
2019,29,3.333333333,TNC_25
2019,30,3.333333333,TNC_25
2019,31,3.333333333,TNC_25
2019,32,6.666666667,TNC_25
2019,34,3.333333333,TNC_25
2019,35,3.333333333,TNC_25
2019,42,3.333333333,TNC_25
2019,43,3.333333333,TNC_25
2019,47,3.333333333,TNC_25
2019,60,0,TNC_25
2019,62,0,TNC_25
2019,65,0,TNC_25
2019,69,0,TNC_25
2019,11,0,TNC_23
2019,14,0,TNC_23
2019,15,0,TNC_23
2019,16,0,TNC_23
2019,18,0,TNC_23
2019,21,0,TNC_23
2019,22,0,TNC_23
2019,24,0,TNC_23
2019,26,0,TNC_23
2019,29,0,TNC_23
2019,30,0,TNC_23
2019,31,0,TNC_23
2019,32,0,TNC_23
2019,34,0,TNC_23
2019,35,0,TNC_23
2019,42,0,TNC_23
2019,43,0,TNC_23
2019,47,0,TNC_23
2019,60,0,TNC_23
2019,62,0,TNC_23
2019,65,0,TNC_23
2019,69,0,TNC_23
2019,11,0,TNC_16
2019,14,0,TNC_16
2019,15,0,TNC_16
2019,16,0,TNC_16
2019,18,0,TNC_16
2019,21,0,TNC_16
2019,22,0,TNC_16
2019,24,0,TNC_16
2019,26,0,TNC_16
2019,29,0,TNC_16
2019,30,0,TNC_16
2019,31,0,TNC_16
2019,32,3.333333333,TNC_16
2019,34,0,TNC_16
2019,35,0,TNC_16
2019,42,0,TNC_16
2019,43,3.333333333,TNC_16
2019,47,0,TNC_16
2019,60,3.333333333,TNC_16
2019,62,3.333333333,TNC_16
2019,65,3.333333333,TNC_16
2019,69,3.333333333,TNC_16
2019,11,3.333333333,TNC_19
2019,14,10,TNC_19
2019,15,3.333333333,TNC_19
2019,16,10,TNC_19
2019,18,3.333333333,TNC_19
2019,21,3.333333333,TNC_19
2019,22,0,TNC_19
2019,24,0,TNC_19
2019,26,0,TNC_19
2019,29,0,TNC_19
2019,30,0,TNC_19
2019,31,0,TNC_19
2019,32,0,TNC_19
2019,34,0,TNC_19
2019,35,0,TNC_19
2019,42,0,TNC_19
2019,43,0,TNC_19
2019,47,0,TNC_19
2019,60,0,TNC_19
2019,62,0,TNC_19
2019,65,0,TNC_19
2019,69,0,TNC_19
2020,12,1.785714286,TNC_25
2020,13,3.571428571,TNC_25
2020,14,1.785714286,TNC_25
2020,15,0,TNC_25
2020,16,8.928571429,TNC_25
2020,17,1.785714286,TNC_25
2020,18,3.571428571,TNC_25
2020,19,0,TNC_25
2020,20,0,TNC_25
2020,22,0,TNC_25
2020,23,1.785714286,TNC_25
2020,24,1.785714286,TNC_25
2020,25,0,TNC_25
2020,26,1.785714286,TNC_25
2020,29,1.785714286,TNC_25
2020,33,0,TNC_25
2020,34,3.571428571,TNC_25
2020,36,1.785714286,TNC_25
2020,37,1.785714286,TNC_25
2020,39,0,TNC_25
2020,45,0,TNC_25
2020,51,1.785714286,TNC_25
2020,56,0,TNC_25
2020,12,0,TNC_23
2020,13,0,TNC_23
2020,14,0,TNC_23
2020,15,0,TNC_23
2020,16,0,TNC_23
2020,17,0,TNC_23
2020,18,0,TNC_23
2020,19,0,TNC_23
2020,20,0,TNC_23
2020,22,0,TNC_23
2020,23,0,TNC_23
2020,24,0,TNC_23
2020,25,0,TNC_23
2020,26,0,TNC_23
2020,29,0,TNC_23
2020,33,0,TNC_23
2020,34,0,TNC_23
2020,36,0,TNC_23
2020,37,0,TNC_23
2020,39,0,TNC_23
2020,45,0,TNC_23
2020,51,0,TNC_23
2020,56,0,TNC_23
2020,12,0,TNC_16
2020,13,0,TNC_16
2020,14,1.785714286,TNC_16
2020,15,0,TNC_16
2020,16,1.785714286,TNC_16
2020,17,0,TNC_16
2020,18,0,TNC_16
2020,19,0,TNC_16
2020,20,1.785714286,TNC_16
2020,22,1.785714286,TNC_16
2020,23,0,TNC_16
2020,24,0,TNC_16
2020,25,1.785714286,TNC_16
2020,26,1.785714286,TNC_16
2020,29,0,TNC_16
2020,33,3.571428571,TNC_16
2020,34,0,TNC_16
2020,36,0,TNC_16
2020,37,0,TNC_16
2020,39,1.785714286,TNC_16
2020,45,1.785714286,TNC_16
2020,51,0,TNC_16
2020,56,1.785714286,TNC_16
2020,12,0,TNC_19
2020,13,8.928571429,TNC_19
2020,14,14.28571429,TNC_19
2020,15,5.357142857,TNC_19
2020,16,5.357142857,TNC_19
2020,17,1.785714286,TNC_19
2020,18,1.785714286,TNC_19
2020,19,1.785714286,TNC_19
2020,20,1.785714286,TNC_19
2020,22,0,TNC_19
2020,23,1.785714286,TNC_19
2020,24,0,TNC_19
2020,25,0,TNC_19
2020,26,0,TNC_19
2020,29,0,TNC_19
2020,33,0,TNC_19
2020,34,0,TNC_19
2020,36,0,TNC_19
2020,37,0,TNC_19
2020,39,0,TNC_19
2020,45,0,TNC_19
2020,51,0,TNC_19
2020,56,0,TNC_19
2022,11,0,TNC_25
2022,12,0.925925926,TNC_25
2022,13,0,TNC_25
2022,14,0.925925926,TNC_25
2022,15,0,TNC_25
2022,16,0.925925926,TNC_25
2022,17,0,TNC_25
2022,18,0.925925926,TNC_25
2022,19,0,TNC_25
2022,20,0.925925926,TNC_25
2022,21,1.851851852,TNC_25
2022,22,0,TNC_25
2022,23,0.925925926,TNC_25
2022,24,1.851851852,TNC_25
2022,25,3.703703704,TNC_25
2022,26,3.703703704,TNC_25
2022,27,1.851851852,TNC_25
2022,28,0.925925926,TNC_25
2022,29,0.925925926,TNC_25
2022,30,0.925925926,TNC_25
2022,31,0,TNC_25
2022,32,0,TNC_25
2022,33,0,TNC_25
2022,34,0.925925926,TNC_25
2022,36,1.851851852,TNC_25
2022,40,0.925925926,TNC_25
2022,42,0,TNC_25
2022,44,0,TNC_25
2022,45,0,TNC_25
2022,47,0.925925926,TNC_25
2022,48,0.925925926,TNC_25
2022,57,0,TNC_25
2022,59,0,TNC_25
